;Œ—ÕŒ¬ÕŒ… Œ ¬≈ƒ;Œ—ÕŒ¬ÕŒ… Œ ¬≈ƒ_id
0;70.10.2;978
1;45.11.2;565
2;47.30;741
3;09.10;89
4;42.12;530
5;35.12;493
6;46.90;720
7;49.20;783
8;46.46;661
9;79.11;1048
10;46.46.1;662
11;52.21.1;826
12;11.05;158
13;72.19;1012
14;24.10.6;290
15;77.39;1037
16;25.61;323
17;46.71;693
18;10.86;144
19;46.19;605
20;46.43;652
21;35.11.1;489
22;24.10.6;290
23;29.10;430
24;64.99.1;909
25;25.40;320
26;47.73;765
27;20.20;221
28;01.46;24
29;61.20;876
30;45.11.1;564
31;16.10.1;182
32;10.13;99
33;20.16;219
34;47.59;755
35;47.19;726
36;47.75;766
37;46.71.2;695
38;23.99.2;279
39;63.11;887
40;52.29;845
41;46.71;693
42;73.11;1019
43;47.2;728
44;46.34.21;628
45;46.51;672
46;45.31.1;579
47;10.83;141
48;46.71;693
49;05.10.13;55
50;47.91;776
51;70.22;980
52;46.46.1;662
53;10.31;108
54;46.69.1;685
55;35.30.14;505
56;24.10.12;285
57;46.71.1;694
58;46.46.1;662
59;10.82.2;140
60;46.71;693
61;07.29.1;72
62;46.69.9;691
63;92.1;1148
64;46.32;618
65;46.77;718
66;45.1;562
67;46.76;715
68;49.20;783
69;45.1;562
70;62.02;881
71;06.20;65
72;52.22;833
73;25.92;328
74;46.90;720
75;41.20;528
76;46.32.1;619
77;47.11;722
78;47.71;761
79;80.10;1052
80;46.71.2;695
81;46.33.3;624
82;46.49;666
83;70.10.1;977
84;10.13.2;101
85;05.10.11;53
86;47.77.2;767
87;46.90;720
88;19.20;205
89;35.14;496
90;10.39;110
91;35.14;496
92;09.10;89
93;43.99.7;560
94;20.17;220
95;35.14;496
96;41.20;528
97;05.10.13;55
98;46.77;718
99;72.19;1012
100;12.00;163
101;46.43;652
102;46.46.1;662
103;47.11;722
104;47.25.1;736
105;17.22;197
106;46.46.1;662
107;05.10.12;54
108;37.00;514
109;46.71.2;695
110;47.75;766
111;52.29;845
112;29.1;429
113;46.51.2;673
114;64.91;900
115;46.43.1;653
116;46.37;635
117;35.12;493
118;46.46;661
119;45.19;567
120;46.69.8;690
121;10.13.1;100
122;24.44;301
123;46.34;625
124;46.51;672
125;42.12;530
126;42.21;532
127;41.20;528
128;46.69;684
129;35.12;493
130;46.90;720
131;47.59;755
132;46.2;606
133;46.90;720
134;68.20.2;957
135;35.14;496
136;46.51;672
137;07.29.1;72
138;05.10.12;54
139;47.25.1;736
140;05.10.13;55
141;06.10.1;64
142;41.20;528
143;20.41.3;228
144;45.11.2;565
145;70.10.2;978
146;82.99;1063
147;06.10.1;64
148;49.31.24;792
149;01.47;25
150;46.4;646
151;46.46;661
152;45.11.1;564
153;46.46;661
154;47.30;741
155;43.12;541
156;45.11.1;564
157;70.10.1;977
158;46.46.1;662
159;10.82.2;140
160;30.11;442
161;45.31;578
162;46.71;693
163;30.2;444
164;35.22;499
165;29.10;430
166;46.21.11;608
167;46.77;718
168;20.1;207
169;35.14;496
170;10.13;99
171;35.11.1;489
172;35.11;488
173;20.13;210
174;09.10.1;90
175;21.20;239
176;47.91.2;777
177;52.24;842
178;45.11.2;565
179;46.71.1;694
180;25.11;310
181;42.21;532
182;47.30;741
183;01.50;31
184;06.10.1;64
185;46.51;672
186;17.1;192
187;46.72;697
188;72.19;1012
189;56.10;855
190;35.30.1;503
191;47.19;726
192;27.51;381
193;47.71.1;762
194;35.12;493
195;46.3;613
196;46.46.1;662
197;46.72;697
198;43.99.7;560
199;46.63;681
200;46.71.1;694
201;24.42;299
202;45.1;562
203;45.31.1;579
204;47.71;761
205;26.51.2;358
206;92.22;1150
207;42.99;539
208;07.29.41;76
209;29.10;430
210;46.71;693
212;22.1;242
213;10.4;113
214;10.42;117
215;46.51;672
216;45.11.1;564
217;68.20;956
218;06.10.1;64
219;46.4;646
220;41.2;527
221;06.10.1;64
222;06.10.1;64
223;29.10.2;432
224;29.10.2;432
225;43.12;541
227;46.72.21;700
228;64.20;897
229;47.5;746
230;12.00;163
231;49.31.1;786
232;35.12;493
233;47.11;722
234;05.20.11;61
235;46.46.1;662
236;46.77;718
237;46.32.2;620
238;46.75.1;713
240;46.3;613
241;42.22.3;534
242;35.30.11;504
243;45.31.1;579
244;47.41;743
245;10.41.2;115
246;45.19;567
247;01.46;24
248;45.11.1;564
249;46.21;607
250;45.1;562
251;46.34;625
252;46.75.2;714
253;24.44;301
254;70.22;980
255;46.36.1;632
256;46.45;659
257;47.11;722
258;41.20;528
259;52.29;845
260;35.12;493
261;20.15;216
262;49.20;783
263;24.10.6;290
264;92.13;1149
265;10.41.2;115
266;24.33;296
267;10.82.2;140
268;41.20;528
269;36.00;511
270;21.20.1;240
271;24.45;302
272;46.46.1;662
273;06.10.1;64
274;70.10.1;977
275;45.11.2;565
276;45.19;567
277;92.1;1148
278;22.21;247
279;26.40.2;353
280;46.21.11;608
281;46.35;630
282;47.7;760
283;46.39;643
