company_file;inn_file;industry_file;inn_smi_publications;inn_company_main_cards;open_orgs_checker;ОГРН;ИНН;КПП;ОКПО;Полное наименование;Прежние наименования;Другие наименования;На английском;Адрес;Телефон;Web;ОКОПФ;Отрасль;Руководитель;E-mail;Соцсети;Управляющая компания;Бенефициар
«КТЗ», промышленный оператор;9704082895;оптовая торговля;9704082895;9704082895;1.0;1217700375991;9704082895;210001001;51974376;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНЦЕРН ""ТРАКТОРНЫЕ ЗАВОДЫ""";УК ТМ, ООО;"ООО ""КТЗ""";"LLC ""TRACTOR PLANTS GROUP""";428003, Чувашская Республика - Чувашия, г.о. город Чебоксары, г Чебоксары, пр-кт Тракторостроителей, стр. 101В, литер 39Е, помещ. 643На карте ;+7 (499) 4262556 ·  Открытые данные ;uk-tm.ru   · 1 домен;Общества с ограниченной ответственностью;Деятельность по управлению холдинг-компаниями;Водопьянов Андрей Валентинович · генеральный директор;;;;
«Автомир-Трейд»;7730569353;розничная торговля;7730569353;7730569353;1.0;1077761079263;7730569353;771801001;83121511;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОМИР-ТРЕЙД""";АВТОМИР-ФИЛИ, ООО;"ООО ""АВТОМИР-ТРЕЙД""";"LLC ""AVTOMIR-TRADE""";107497, г. Москва, ул. Иркутская, д. 5/6 стр. 1 пом. 321На карте ;;;Общества с ограниченной ответственностью;Торговля розничная легковыми автомобилями и легкими автотранспортными средствами в специализированных магазинах;Рябушко Владимир Николаевич · генеральный директор;;;;
«Джи Пи Си Рус»;7703400140;платежный сервис;7703400140;7703400140;1.0;1157746967510;7703400140;774301001;51166895;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЖИ ПИ СИ РУС""";;"ООО ""ДЖИ ПИ СИ РУС""";"OOO ""DZHI PI SI RUS""";125195, г. Москва, вн.тер.г. муниципальный округ Ховрино, ул Смольная, д. 20А, помещ. 4/8, ком. 11На карте ;+7 (928) 1214313 ;gpc-store.ru   · 1 домен;Общества с ограниченной ответственностью;Торговля розничная моторным топливом в специализированных магазинах;Сазонов Евгений Валерьевич · президент;;;;
«Самотлорнефтепромхим»;8603118208;сервисные компании;8603118208;8603118208;1.0;1048600521408;8603118208;860301001;74733014;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САМОТЛОРНЕФТЕПРОМХИМ""";САМОТЛОРНЕФТЕПРОМХИМ, АО;"АО""СНПХ""";"AO""SNPKH""";628616, Ханты-Мансийский Автономный Округ - Югра, г. Нижневартовск, ул. Индустриальная, д. ЗД. 95 стр. 1На карте ;+7 (3466) 671363 ;www.snph.biz  ;Непубличные акционерные общества;Предоставление услуг в области добычи нефти и природного газа;Галимьянов Ильфат Даниярович · генеральный директор;snph@nptus.ru  ;;;
«Мосметрострой»;7710068052;инжиниринг, промышленно-инфраструктурное строительство;7710068052;7710068052;1.0;1027739002378;7710068052;770701001;01387120;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСКОВСКИЙ МЕТРОСТРОЙ""";МОСКОВСКИЙ МЕТРОСТРОЙ, АО ;"АО ""МОСМЕТРОСТРОЙ""";Mosmetrostroy JSC;127051, г. Москва, бульвар Цветной, д. 17 пом. 14На карте ;+7 (495) 2767789 ;www.metrostroy.com   · 3 домена;Непубличные акционерные общества;Строительство железных дорог и метро;Жуков Сергей Анатольевич · генеральный директор;reception-3@metrostroy.com  ;youtube.com/channel/uc4ckqh0buo49a-xn-_byxng  ;;
«Сетевая компания»;1655049111;энергосбытовая деятельность;1655049111;1655049111;1.0;1021602830930;1655049111;165701001;05373591;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕТЕВАЯ КОМПАНИЯ""";СЕТЕВАЯ КОМПАНИЯ, ОАО;"АО ""СЕТЕВАЯ КОМПАНИЯ""";"AO ""SETEVAYA KOMPANIYA""";420094, Татарстан респ., г. Казань, ул. Бондаренко, д. 3На карте ;+7 (843) 2918558 ;pdo-new.gridcom-rt.ru/   · 1 домен;Непубличные акционерные общества;Передача электроэнергии и технологическое присоединение к распределительным электросетям;Фардиев Ильшат Шаехович · генеральный директор;gridcom@rambler.ru  ;;;
«Сумитек Интернейшнл»;7709340842;оптовая торговля;7709340842;7709340842;1.0;1027739138745;7709340842;770601001;56635733;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СУМИТЕК ИНТЕРНЕЙШНЛ""";;"ООО ""СУМИТЕК ИНТЕРНЕЙШНЛ""";"""SUMITEC INTERNATIONAL LTD.""";119017, г. Москва, вн.тер.г. муниципальный округ Якиманка, ул Большая Ордынка, д. 40, стр. 2, этаж 3, помещ. 1На карте ;+7 (495) 7972842 ;www.sumitec.ru   · 7 доменов;Общества с ограниченной ответственностью;Торговля оптовая неспециализированная;Субботин Вадим Михайлович · генеральный директор;mikhail.dolgikh@sumitec.ru  ;;;
«Русагротранс»;9718221490;транспорт и логистика;9718221490;9718221490;1.0;1237700204807;9718221490;770701001;82388169;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУСАГРОТРАНС""";РУСАГРОТРАНС, АО;"ООО ""РУСАГРОТРАНС""";"LLC ""RUSAGROTRANS""";127006, г. Москва, вн.тер.г. муниципальный округ Тверской, ул Краснопролетарская, д. 4, помещ. 2/1 · Бизнес-центр «Эрмитаж Плаза»На карте ;+7 (495) 9845475 ;www.rusagrotrans.ru   · 8 доменов;Общества с ограниченной ответственностью;Деятельность железнодорожного транспорта: грузовые перевозки;;info@rusagrotrans.ru  ;;УК ДЕМЕТРА-ХОЛДИНГ, ООО;
«Профитмед»;7719022542;оптовая торговля;7719022542;7719022542;1.0;1027700286844;7719022542;771501001;40181750;"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОФИТМЕД""";;"ЗАО ""ПРОФИТМЕД""";"""PROFITMED""";127521, г. Москва, проезд 17-Й Марьиной Рощи, д. 13 стр. 5На карте ;+7 (495) 6401061 ;www.profitmed.net   · 1 домен;Непубличные акционерные общества;Торговля оптовая фармацевтической продукцией;Шелудько Артём Сергеевич · конкурсный управляющий;7719022542_771501001@eo.tensor.ru  ;youtube.com/channel/ucp1t-8819sq8o9v1zs5dc5a  ;;
"""ТТ-Трэвел""";7714775020;туристические агентства;7714775020;7714775020;1.0;1097746076273;7714775020;771401001;60415227;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТТ-ТРЭВЕЛ""";ТТ-ВКО, ООО;"ООО ""ТТ-ТРЭВЕЛ""";"""TT-TRAVEL"", LLC";125167, г. Москва, вн.тер.г. муниципальный округ Хорошевский, ул Викторенко, д. 5, стр. 1 · Бизнес-центр «Victory Plaza»На карте ;+7 (495) 9464542 ;mostravel.ru   · 38 доменов;Общества с ограниченной ответственностью;Деятельность туристических агентств;Рубцов Владимир Игоревич · генеральный директор;vladimir.rubtsov@fstravel.com  ;;;Демура Тарас Александрович
