company_file,inn_file,industry_file,inn_smi_publications,inn_company_main_cards,open_orgs_checker,ОГРН,ИНН,КПП,ОКПО,Полное наименование,Прежние наименования,Другие наименования,На английском,Адрес,Телефон,Web,ОКОПФ,Отрасль,Руководитель,E-mail,Соцсети,Управляющая компания,Бенефициар,flag,Полное название организации,Английское название,Адрес,Уставный капитал,ОКФС,ОКОПФ,ОКОГУ,ИНН,ОГРН,КПП,ОКАТО,ОКПО,ОКТМО,main_okved_id,main_okved_name,second_okveds
"«КТЗ», промышленный оператор",9704082895,оптовая торговля,9704082895,9704082895,1.0,1217700375991,9704082895,210001001,51974376,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНЦЕРН ""ТРАКТОРНЫЕ ЗАВОДЫ""","УК ТМ, ООО","ООО ""КТЗ""","LLC ""TRACTOR PLANTS GROUP""","428003, Чувашская Республика - Чувашия, г.о. город Чебоксары, г Чебоксары, пр-кт Тракторостроителей, стр. 101В, литер 39Е, помещ. 643На карте ",+7 (499) 4262556 ·  Открытые данные ,uk-tm.ru   · 1 домен,Общества с ограниченной ответственностью,Деятельность по управлению холдинг-компаниями,Водопьянов Андрей Валентинович · генеральный директор,,,,,1.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНЦЕРН ""ТРАКТОРНЫЕ ЗАВОДЫ""","LLC ""TRACTOR PLANTS GROUP""","Чувашская Республика - Чувашия, г.о. город Чебоксары, г Чебоксары, пр-кт Тракторостроителей, стр. 101В, литер 39Е, помещ. 643",10 000,Частная собственность,Общества с ограниченной ответственностью,"Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно",9704082895,1217700375991,210001001,"Чувашская Республика - Чувашия, Чебоксары",51974376,"Чувашская Республика-Чувашия, Городские округа Чувашской Республики - Чувашии, г Чебоксары",70.10.2,Деятельность по управлению холдинг-компаниями,{'Деятельность холдинговых компаний': '64.20'}
«Автомир-Трейд»,7730569353,розничная торговля,7730569353,7730569353,1.0,1077761079263,7730569353,771801001,83121511,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОМИР-ТРЕЙД""","АВТОМИР-ФИЛИ, ООО","ООО ""АВТОМИР-ТРЕЙД""","LLC ""AVTOMIR-TRADE""","107497, г. Москва, ул. Иркутская, д. 5/6 стр. 1 пом. 321На карте ",,,Общества с ограниченной ответственностью,Торговля розничная легковыми автомобилями и легкими автотранспортными средствами в специализированных магазинах,Рябушко Владимир Николаевич · генеральный директор,,,,,1.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОМИР-ТРЕЙД""","LLC ""AVTOMIR-TRADE""","г. Москва, ул. Иркутская, д. 5/6 стр. 1 пом. 321",120 010 000,Частная собственность,Общества с ограниченной ответственностью,"Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно",7730569353,1077761079263,771801001,"Город Москва столица Российской Федерации город федерального значения, Восточный, Гольяново",83121511,"Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Гольяново",45.11.2,Торговля розничная легковыми автомобилями и легкими автотранспортными средствами в специализированных магазинах,{'Торговля оптовая легковыми автомобилями и легкими автотранспортными средствами': '45.11.1'}
«Джи Пи Си Рус»,7703400140,платежный сервис,7703400140,7703400140,1.0,1157746967510,7703400140,774301001,51166895,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЖИ ПИ СИ РУС""",,"ООО ""ДЖИ ПИ СИ РУС""","OOO ""DZHI PI SI RUS""","125195, г. Москва, вн.тер.г. муниципальный округ Ховрино, ул Смольная, д. 20А, помещ. 4/8, ком. 11На карте ",+7 (928) 1214313 ,gpc-store.ru   · 1 домен,Общества с ограниченной ответственностью,Торговля розничная моторным топливом в специализированных магазинах,Сазонов Евгений Валерьевич · президент,,,,,1.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЖИ ПИ СИ РУС""","OOO ""DZHI PI SI RUS""","г. Москва, вн.тер.г. муниципальный округ Ховрино, ул Смольная, д. 20А, помещ. 4/8, ком. 11",10 000,Частная собственность,Общества с ограниченной ответственностью,"Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно",7703400140,1157746967510,774301001,"Город Москва столица Российской Федерации город федерального значения, Северный, Ховрино",51166895,"Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Ховрино",47.30,Торговля розничная моторным топливом в специализированных магазинах,"{'Деятельность агентов по оптовой торговле твердым, жидким и газообразным топливом и связанными продуктами': '46.12.1'}"
«Самотлорнефтепромхим»,8603118208,сервисные компании,8603118208,8603118208,1.0,1048600521408,8603118208,860301001,74733014,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САМОТЛОРНЕФТЕПРОМХИМ""","САМОТЛОРНЕФТЕПРОМХИМ, АО","АО""СНПХ""","AO""SNPKH""","628616, Ханты-Мансийский Автономный Округ - Югра, г. Нижневартовск, ул. Индустриальная, д. ЗД. 95 стр. 1На карте ",+7 (3466) 671363 ,www.snph.biz  ,Непубличные акционерные общества,Предоставление услуг в области добычи нефти и природного газа,Галимьянов Ильфат Даниярович · генеральный директор,snph@nptus.ru  ,,,,1.0,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САМОТЛОРНЕФТЕПРОМХИМ""","AO""SNPKH""","Ханты-Мансийский Автономный Округ - Югра, г. Нижневартовск, ул. Индустриальная, д. ЗД. 95 стр. 1",10 000,Частная собственность,Непубличные акционерные общества,"Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно",8603118208,1048600521408,860301001,"Тюменская область, Нижневартовск",74733014,"Тюменская область, Муниципальные районы и городские округа Ханты-Мансийского автономного округа - Югры, Нижневартовск",09.10,Предоставление услуг в области добычи нефти и природного газа,{'Добыча угля и антрацита': '05.10.1'}
«Мосметрострой»,7710068052,"инжиниринг, промышленно-инфраструктурное строительство",7710068052,7710068052,1.0,1027739002378,7710068052,770701001,1387120,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСКОВСКИЙ МЕТРОСТРОЙ""","МОСКОВСКИЙ МЕТРОСТРОЙ, АО ","АО ""МОСМЕТРОСТРОЙ""",Mosmetrostroy JSC,"127051, г. Москва, бульвар Цветной, д. 17 пом. 14На карте ",+7 (495) 2767789 ,www.metrostroy.com   · 3 домена,Непубличные акционерные общества,Строительство железных дорог и метро,Жуков Сергей Анатольевич · генеральный директор,reception-3@metrostroy.com  ,youtube.com/channel/uc4ckqh0buo49a-xn-_byxng  ,,,1.0,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСКОВСКИЙ МЕТРОСТРОЙ""",Mosmetrostroy JSC,"г. Москва, бульвар Цветной, д. 17 пом. 14",1 548 337 062,Иная смешанная российская собственность,Непубличные акционерные общества,Приватизированные предприятия,7710068052,1027739002378,770701001,"Город Москва столица Российской Федерации город федерального значения, Центральный, Тверской",01387120,"Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Тверской",42.12,Строительство железных дорог и метро,{'Строительство жилых и нежилых зданий': '41.20'}
«Сетевая компания»,1655049111,энергосбытовая деятельность,1655049111,1655049111,1.0,1021602830930,1655049111,165701001,5373591,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕТЕВАЯ КОМПАНИЯ""","СЕТЕВАЯ КОМПАНИЯ, ОАО","АО ""СЕТЕВАЯ КОМПАНИЯ""","AO ""SETEVAYA KOMPANIYA""","420094, Татарстан респ., г. Казань, ул. Бондаренко, д. 3На карте ",+7 (843) 2918558 ,pdo-new.gridcom-rt.ru/   · 1 домен,Непубличные акционерные общества,Передача электроэнергии и технологическое присоединение к распределительным электросетям,Фардиев Ильшат Шаехович · генеральный директор,gridcom@rambler.ru  ,,,,1.0,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕТЕВАЯ КОМПАНИЯ""","AO ""SETEVAYA KOMPANIYA""","Татарстан респ., г. Казань, ул. Бондаренко, д. 3",7 596 628 790,Смешанная российская собственность с долей собственности субъектов Российской Федерации,Непубличные акционерные общества,"Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно",1655049111,1021602830930,165701001,"Республика Татарстан (Татарстан), Казань, Ново-Савиновский",05373591,"Республика Татарстан, Городские округа Республики Татарстан (Татарстана), г Казань",35.12,Передача электроэнергии и технологическое присоединение к распределительным электросетям,{'Распределение электроэнергии': '35.13'}
«Сумитек Интернейшнл»,7709340842,оптовая торговля,7709340842,7709340842,1.0,1027739138745,7709340842,770601001,56635733,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СУМИТЕК ИНТЕРНЕЙШНЛ""",,"ООО ""СУМИТЕК ИНТЕРНЕЙШНЛ""","""SUMITEC INTERNATIONAL LTD.""","119017, г. Москва, вн.тер.г. муниципальный округ Якиманка, ул Большая Ордынка, д. 40, стр. 2, этаж 3, помещ. 1На карте ",+7 (495) 7972842 ,www.sumitec.ru   · 7 доменов,Общества с ограниченной ответственностью,Торговля оптовая неспециализированная,Субботин Вадим Михайлович · генеральный директор,mikhail.dolgikh@sumitec.ru  ,,,,1.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СУМИТЕК ИНТЕРНЕЙШНЛ""","""SUMITEC INTERNATIONAL LTD.""","г. Москва, вн.тер.г. муниципальный округ Якиманка, ул Большая Ордынка, д. 40, стр. 2, этаж 3, помещ. 1",673 554 050,Собственность иностранных юридических лиц,Общества с ограниченной ответственностью,"Хозяйственные общества и товарищества с участием иностранных юридических и (или) физических лиц, а также лиц без гражданства",7709340842,1027739138745,770601001,"Город Москва столица Российской Федерации город федерального значения, Центральный, Замоскворечье",56635733,"Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Замоскворечье",46.90,Торговля оптовая неспециализированная,{'Ремонт машин и оборудования': '33.12'}
«Русагротранс»,9718221490,транспорт и логистика,9718221490,9718221490,1.0,1237700204807,9718221490,770701001,82388169,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУСАГРОТРАНС""","РУСАГРОТРАНС, АО","ООО ""РУСАГРОТРАНС""","LLC ""RUSAGROTRANS""","127006, г. Москва, вн.тер.г. муниципальный округ Тверской, ул Краснопролетарская, д. 4, помещ. 2/1 · Бизнес-центр «Эрмитаж Плаза»На карте ",+7 (495) 9845475 ,www.rusagrotrans.ru   · 8 доменов,Общества с ограниченной ответственностью,Деятельность железнодорожного транспорта: грузовые перевозки,,info@rusagrotrans.ru  ,,"УК ДЕМЕТРА-ХОЛДИНГ, ООО",,1.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУСАГРОТРАНС""","LLC ""RUSAGROTRANS""","г. Москва, вн.тер.г. муниципальный округ Тверской, ул Краснопролетарская, д. 4, помещ. 2/1",8 370 289 222,Частная собственность,Общества с ограниченной ответственностью,"Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно",9718221490,1237700204807,770701001,"Город Москва столица Российской Федерации город федерального значения, Центральный, Тверской",82388169,"Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Тверской",49.20,Деятельность железнодорожного транспорта: грузовые перевозки,{'Строительство жилых и нежилых зданий': '41.20'}
«Профитмед»,7719022542,оптовая торговля,7719022542,7719022542,1.0,1027700286844,7719022542,771501001,40181750,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОФИТМЕД""",,"ЗАО ""ПРОФИТМЕД""","""PROFITMED""","127521, г. Москва, проезд 17-Й Марьиной Рощи, д. 13 стр. 5На карте ",+7 (495) 6401061 ,www.profitmed.net   · 1 домен,Непубличные акционерные общества,Торговля оптовая фармацевтической продукцией,Шелудько Артём Сергеевич · конкурсный управляющий,7719022542_771501001@eo.tensor.ru  ,youtube.com/channel/ucp1t-8819sq8o9v1zs5dc5a  ,,,1.0,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОФИТМЕД""","""PROFITMED""","г. Москва, проезд 17-Й Марьиной Рощи, д. 13 стр. 5",205 000,Частная собственность,Непубличные акционерные общества,"Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно",7719022542,1027700286844,771501001,"Город Москва столица Российской Федерации город федерального значения, Северо-Восточный, Марьина роща",40181750,"Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Марьина роща",46.46,Торговля оптовая фармацевтической продукцией,"{'Деятельность агентов, специализирующихся на оптовой торговле фармацевтической продукцией, изделиями, применяемыми в медицинских целях, парфюмерными и косметическими товарами, включая мыло, и чистящими средствами': '46.18.1'}"
"""ТТ-Трэвел""",7714775020,туристические агентства,7714775020,7714775020,1.0,1097746076273,7714775020,771401001,60415227,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТТ-ТРЭВЕЛ""","ТТ-ВКО, ООО","ООО ""ТТ-ТРЭВЕЛ""","""TT-TRAVEL"", LLC","125167, г. Москва, вн.тер.г. муниципальный округ Хорошевский, ул Викторенко, д. 5, стр. 1 · Бизнес-центр «Victory Plaza»На карте ",+7 (495) 9464542 ,mostravel.ru   · 38 доменов,Общества с ограниченной ответственностью,Деятельность туристических агентств,Рубцов Владимир Игоревич · генеральный директор,vladimir.rubtsov@fstravel.com  ,,,Демура Тарас Александрович,1.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТТ-ТРЭВЕЛ""","""TT-TRAVEL"", LLC","г. Москва, вн.тер.г. муниципальный округ Хорошевский, ул Викторенко, д. 5, стр. 1",2 520 561 906,Частная собственность,Общества с ограниченной ответственностью,"Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно",7714775020,1097746076273,771401001,"Город Москва столица Российской Федерации город федерального значения, Северный, Хорошевский",60415227,"Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Хорошевский",79.11,Деятельность туристических агентств,{'Аренда и управление собственным или арендованным недвижимым имуществом': '68.20'}
