;company_name;Полное название организации;Английское название;Адрес;Уставный капитал;ОКФС;ОКОПФ;ОКОГУ;ИНН;ОГРН;КПП;ОКАТО;ОКПО;ОКТМО;main_okved_id;main_okved_name;second_okveds
0;ВИНЛАБ КОМСОМОЛЬСК, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИНЛАБ КОМСОМОЛЬСК""";"OOO ""VINLAB KOMSOMOLSK""";Хабаровский кр., г. Хабаровск, ул. Муравьева-Амурского, д. 4 офис 633;25 000 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;2721236736;1182724010435;272101001;Хабаровский край, Хабаровск, Центральный;28509389;Хабаровский край, Городские округа Хабаровского края, г Хабаровск;47.25;Торговля розничная напитками в специализированных магазинах;{'Торговля оптовая мясом и мясными продуктами': '46.32'}
1;ДОН-СПОРТ БИРЮЗОВА, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОН-СПОРТ БИРЮЗОВА""";"OOO ""DON-SPORT BIRYUZOVA""";г. Москва, пер. 1-Й Зачатьевский, д. 5;10 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;7704852413;5137746177256;770401001;Город Москва столица Российской Федерации город федерального значения, Центральный, Хамовники;26129211;Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Хамовники;93.11;Деятельность спортивных объектов;{'Копирование записанных носителей информации': '18.20'}
2;ПРОФКОМ ИПКОН РАН;МЕСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ - ПЕРВИЧНАЯ ПРОФСОЮЗНАЯ ОРГАНИЗАЦИЯ РАБОТНИКОВ ИНСТИТУТА ПРОБЛЕМ КОМПЛЕКСНОГО ОСВОЕНИЯ НЕДР РАН;PROFKOM IPKON RAN;г. Москва, туп. Крюковский, д. 4;;Собственность профессиональных союзов;Профсоюзные организации;Региональные и местные общественные объединения;7722102653;1037739236424;772201001;Город Москва столица Российской Федерации город федерального значения, Юго-Восточный, Лефортово;52604397;Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Лефортово;94.20;Деятельность профессиональных союзов;
3;АЛЬФАСТРАХОВАНИЕ, НОВОСИБИРСКИЙ ФЛ АО;;;;;;;;;;;;;;;;
4;СПЕЦКОМПЛЕКТ СЕВЕРО-ЗАПАД, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЕЦКОМПЛЕКТ СЕВЕРО-ЗАПАД""";"OOO ""SPETSKOMPLEKT SEVERO-ZAPAD""";г. Санкт-Петербург, вн.тер.г. муниципальный округ Волковское, ул. Софийская, д. 14, литера А, часть помещ. 9-Н, помещ. 80,81,82;1 000 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;7805741332;1197847014573;781601001;Город Санкт-Петербург город федерального значения, Фрунзенский;35606377;Санкт-Петербург, Внутригородские муниципальные образования города федерального значения Санкт-Петербурга (см. также 40 300 000), муниципальный округ Волковское;46.42;Торговля оптовая одеждой и обувью;{'Деятельность агентов по оптовой торговле универсальным ассортиментом товаров': '46.19'}
5;МРФ, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МРФ""";"OOO ""MRF""";Московская обл., г. Королёв, ул. К.Д.Трофимова (Юбилейный Мкр), д. 4 кв. 13;10 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;5018201035;1195081054618;501801001;Московская область, Королев;40975415;Московская область, Городские округа Московской области, Королев;63.11;Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность;{'Деятельность в области связи на базе проводных технологий': '61.10'}
6;СЕТЛЕС, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕТЛЕС""";SETLES LIMITED LIABILITY COMPANY;Карелия респ., Питкярантский район, пос. Импилахти, шоссе Сортавальское, д. 70;563 220 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;1005140010;1021000905529;100501001;Республика Карелия, Питкярантский район, п Импилахти;24896389;Карелия (Республика), Муниципальные округа Республики Карелия, Питкярантский муниципальный округ, п Импилахти;16.10.1;"Производство пиломатериалов, кроме профилированных, толщиной более 6 мм; производство непропитанных железнодорожных и трамвайных шпал из древесины";{'Лесозаготовки': '02.20'}
7;ОКБ МИКРОН, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОПЫТНО-КОНСТРУКТОРСКОЕ БЮРО МИКРОН""";"OOO ""OKB MIKRON""";Красноярский кр., Емельяновский район, с. Шуваево, ул. Промышленная, д. ЗД. 5 стр. 1;10 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;2461212522;1112468008443;241101001;Красноярский край, Емельяновский район, Шуваевский, с Шуваево;90373319;Красноярский край, Муниципальные районы Красноярского края, Емельяновский мун. р-н, Сельские поселения Емельяновского муниципального района, Шуваевский с/с, с Шуваево;28.41;Производство металлообрабатывающего оборудования;{'Производство строительных металлических конструкций и изделий': '25.1'}
8;УДК СНГ, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УОЛТ ДИСНЕЙ КОМПАНИ СНГ""";THE WALT DISNEY COMPANY CIS LIMITED LIABILITY COMPANY;г. Москва, бульвар Новинский, д. 8 офис ЭТАЖИ 11-12;25 000;Собственность иностранных юридических лиц;Общества с ограниченной ответственностью;Хозяйственные общества и товарищества с участием иностранных юридических и (или) физических лиц, а также лиц без гражданства;7710608533;1057749153252;770401001;Город Москва столица Российской Федерации город федерального значения, Центральный, Арбат;79387628;Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Арбат;60.10;Деятельность в области радиовещания;{'Прочие виды полиграфической деятельности': '18.12'}
9;ФЛАГМАНН, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФЛАГМАНН""";"OOO ""FLAGMANN""";Пермский кр., г. Пермь, ул. Краснова, д. 24 к. Б;10 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;5904157251;1075904001414;590401001;Пермский край, Пермь, Свердловский;98075900;Пермский край, Городские округа Пермского края, Пермский, г Пермь;81.22;Деятельность по чистке и уборке жилых зданий и нежилых помещений прочая;{'Ремонт машин и оборудования': '33.12'}
